galaxy,n,rmax,burk_chi2,burk_chi2_red,burk_bic,ein0_chi2,ein0_chi2_red,ein0_bic,ein1_chi2,ein1_chi2_red,ein1_bic,ein2_chi2,ein2_chi2_red,ein2_bic,fw_einasto_n_shells,fw_einasto_chi2,fw_einasto_chi2_red,fw_einasto_popt,T,V_flat,burk_canonical_chi2_red,fw_burkert_n_shells,fw_burkert_chi2_red
NGC0100,21,9.62,1.6254208024227008,0.0855484632854053,7.714465677869547,1.9068102796248703,0.1059339044236039,11.04037759279514,0.935732497627441,0.06238216650849607,19.20286712396798,0.4295121984397001,0.03579268320330834,27.830214137950506,0,1.9068102796248703,0.1059339044236039,"[6.629426745714446, 0.8019232666878436, 1.0566674983002953]",6,88.1,0.08554846328541,0,0.08554846328541
NGC0247,26,14.54,92.97273037128409,3.8738637654701704,99.48892344732705,33.768797906212995,1.4682086046179563,43.54308752027744,7.1010415517493914,0.3550520775874696,26.649620779878283,4.842716730508528,0.2848656900299134,34.16558557270187,1,7.1010415517493914,0.3550520775874696,"[7.118188376365983, 0.43893366996549066, 1.1999999999999997, 10.352839899554764, 9.700303937104561, 2.3435585786939153]",7,104.9,3.873863765445277,1,0.0650232008494432
NGC0289,28,71.12,67.52396364451424,2.5970755247890094,74.18837266486464,48.48526102867839,1.9394104411471356,58.481874559204,27.226958346529567,1.237589015751344,47.220185407580786,17.194056938992386,0.9049503652101256,47.18389753056922,2,17.194056938992386,0.9049503652101256,"[4.000000000000001, 2.2906891639167832, 0.05000000000000001, 10.393496436079898, 9.013200250856913, 1.3375707821502008, 10.699999999999998, 29.316535415194682, 1.9005062884944683]",4,163.0,2.5970755247906205,1,1.6520257362651904
NGC0300,25,11.8,13.417073404254703,0.5833510175762914,19.854825053991103,9.6526219534717,0.4387555433396227,19.3092494280763,5.4034902662842335,0.28439422454127544,24.716745215493436,2.041117267462641,0.12756982921641508,31.010999691276446,0,9.6526219534717,0.4387555433396227,"[6.445024722384503, 0.9165075835056009, 0.4693346407059636]",7,93.3,0.5833510175762591,0,0.5833510175762591
NGC0801,11,59.82,129.66085170445226,14.406761300494695,134.456642250049,24.638275530047867,3.0797844412559834,31.83196134844298,9.810787371105206,1.9621574742210413,24.19815900789543,4.160648400251119,2.0803242001255593,25.741705855436457,1,9.810787371105206,1.9621574742210413,"[5.472278498433699, 1.5960435211191704, 0.05000000000000001, 10.699999999999998, 45.827240057195375, 0.593095126811514]",5,220.1,14.406761305082576,1,1.399804866775394
NGC0891,14,17.11,32.86502009837517,2.7387516748645973,38.14313475760569,30.949403722798912,2.8135821566180828,38.866575711644685,2.4295951853820426,0.3036993981727553,18.26393916307359,1.577705043542515,0.315541008708503,25.32922101007984,1,2.4295951853820426,0.3036993981727553,"[5.65249138231104, 2.999999999991836, 1.1999999999977617, 10.57374741511911, 8.760474727237668, 1.637133032088431]",3,216.1,2.738751674837141,1,0.2704347261393803
NGC1003,36,30.24,188.5226658163239,5.544784288715409,195.6897036932361,77.01750248796323,2.3338637117564613,87.76805930333155,36.84542941299838,1.2281809804332793,58.34654304373504,16.390115711278348,0.6070413226399388,48.641786157383336,2,16.390115711278348,0.6070413226399388,"[6.670106785430377, 0.8008116030224264, 1.1999999999999997, 10.251579185404644, 16.20838155612785, 1.6917788806185678, 10.594272535327704, 24.71150795541231, 3.9254834646745564]",6,109.8,5.544784288882662,1,0.9840870023373306
NGC1090,22,30.09,37.75573203584515,1.8877866017922575,43.93781694256178,33.15682786527414,1.7450962034354809,42.42995522534909,17.96015157198593,1.1225094732491205,36.50640629213582,6.1914823446287315,0.4762678726637486,34.01086442485358,2,6.1914823446287315,0.4762678726637486,"[6.293873959489968, 1.0535027722478838, 1.1999999999999902, 10.221833384026088, 4.6874055100905565, 1.0039030785081677, 10.699999999999996, 22.559515954721792, 4.702092411164336]",4,164.4,1.8877866017933989,1,0.5224274174908414
NGC2403,73,20.87,1351.0329186908548,19.028632657617674,1359.6138375731516,376.0288538164865,5.37184076880695,388.9002321399317,160.163635061811,2.3905020158479253,185.90639170870134,61.040626222292744,0.9537597847233241,99.65476119262826,2,61.040626222292744,0.9537597847233241,"[7.918763782172801, 0.00579950548839912, 1.1999999999999997, 10.167174494177791, 4.957669442509457, 1.4258314172992226, 10.699999999999998, 13.135855381690078, 4.0600171729237635]",6,131.2,19.028632657596752,2,0.7870304121898094
NGC2683,11,34.62,6.225590795522497,0.6917323106136108,11.021381341119238,6.749437847798542,0.8436797309748177,13.943123666193653,4.377810812900163,0.8755621625800327,18.765182449690386,2.4743345095390863,1.2371672547695431,24.055391964724425,0,6.749437847798542,0.8436797309748177,"[6.949753244622645, 0.8609814035969031, 0.4153316789368127]",3,154.0,0.691732310613612,0,0.691732310613612
